title,author,length
Just Say Yes,By: Lena Hendrix,Length: 10 hrs and 9 mins
Once Upon a Christmas Song,By: Mary Calmes,Length: 3 hrs and 56 mins
Inviting Bedlam,By: Grae Bryan,Length: 7 hrs and 58 mins
Last Witch Attempt,By: Amanda M. Lee,Length: 9 hrs and 39 mins
Stealing Hearts,By: Lex Martin,Length: 8 hrs and 42 mins
A Fatal Illusion,"By: Matthew Costello, Neil Richards",Length: 3 hrs and 30 mins
Come for Me,By: C.J. Sweet,Length: 11 hrs and 39 mins
Reckoning,By: Michael R. Miller,Length: 24 hrs
Of Ancients Unbound,By: T.C. Edge,Length: 42 hrs and 43 mins
Tenacity,By: A.H. Hadley,Length: 16 hrs and 51 mins
The Golden Goblin,By: Terry Mancour,Length: 19 hrs
Isles of the Emberdark,By: Brandon Sanderson,Length: 16 hrs and 51 mins
Kind of Like Gravity,By: Nina Grigsby,Length: 1 hr and 29 mins
"F**k, Marry, Kill Me, Daddy",By: Lance Lansdale,Length: 8 hrs and 38 mins
Wicked,By: Gregory Maguire,Length: 13 hrs and 38 mins
The Sleepy Fox and Other Bedtime Stories,By: Sophie Brooks,Length: 10 hrs and 7 mins
It'll Be an Adventure,By: Cherise Sinclair,Length: 13 hrs and 17 mins
The Barnyard Tales,By: Roxann Devon Ray Terrel,Length: 3 hrs and 42 mins
Syl: Osmosis,By: Lunadea,Length: 16 hrs
Hagar of the Pawn-Shop,By: Fergus Hume,Length: 8 hrs and 19 mins
